Date,Open,High,Low,Close,Adj Close,Volume,returns
2013-08-02,170.279999,170.970001,170.050003,170.949997,143.366272,91116700,0.16993068524484567
2013-08-05,170.570007,170.960007,170.350006,170.699997,143.156601,54072700,-0.14624848444131366
2013-08-06,170.369995,170.740005,169.350006,169.729996,142.34314,87495000,-0.5682315690074158
2013-08-07,169.190002,169.429993,168.550003,169.179993,141.881821,84854700,-0.32408938007129073
2013-08-08,169.979996,170.179993,168.929993,169.800003,142.40181,102181300,0.3664944503355416
2013-08-09,169.580002,170.100006,168.720001,169.309998,141.990921,91757700,-0.28854197850436414
2013-08-12,168.460007,169.309998,168.380005,169.110001,141.823151,68593300,-0.11815544178348514
2013-08-13,169.410004,169.899994,168.410004,169.610001,142.242554,80806000,0.29572252276359734
2013-08-14,169.529999,169.800003,168.699997,168.740005,141.512863,79829200,-0.5129906483540836
2013-08-15,167.410004,167.429993,166.089996,166.380005,139.533676,152931800,-1.3985915895150747
2013-08-16,166.059998,166.630005,165.5,165.830002,139.072449,130868200,-0.3305488776773946
2013-08-19,165.639999,166.210007,164.759995,164.770004,138.183456,96437600,-0.6392301324901539
2013-08-20,165.039993,166.199997,164.860001,165.580002,138.862762,89294400,0.4915971995953061
2013-08-21,165.119995,166.029999,164.190002,164.559998,138.007309,159530500,-0.6160420458870108
2013-08-22,164.899994,166.300003,164.889999,166.059998,139.265289,101471400,0.9115314320055301
2013-08-23,166.550003,166.830002,165.770004,166.619995,139.734955,90888900,0.337245557290311
2013-08-26,166.789993,167.300003,165.889999,166.0,139.214966,89702100,-0.3721252137663167
2013-08-27,164.360001,166.0,163.210007,163.330002,136.97583,158619400,-1.6084017863424283
2013-08-28,163.259995,164.490005,163.050003,163.910004,137.462219,108113000,0.35509111351981204
2013-08-29,163.550003,165.039993,163.399994,164.169998,137.680313,119200500,0.15865741262333088
2013-08-30,164.509995,164.529999,163.169998,163.649994,137.244186,134928900,-0.31676787370464865
2013-09-03,165.229996,165.580002,163.699997,164.389999,137.864761,142375100,0.4521685166320788
2013-09-04,164.429993,166.029999,164.130005,165.75,139.005356,97389400,0.8273288922613142
2013-09-05,165.850006,166.399994,165.729996,165.960007,139.181473,63090500,0.12669799572326834
2013-09-06,166.509995,166.979996,164.479996,166.039993,139.24852,159756500,0.04817235983700652
2013-09-09,166.449997,167.729996,166.449997,167.630005,140.581985,87559300,0.9576152048150988
2013-09-10,168.639999,168.899994,168.259995,168.869995,141.621918,105847200,0.7397341842910965
2013-09-11,168.639999,169.399994,168.350006,169.399994,142.066406,94545900,0.31385537371411143
2013-09-12,169.339996,169.559998,168.720001,168.949997,141.688995,83209000,-0.2656581598889707
2013-09-13,169.130005,169.460007,168.740005,169.330002,142.007645,72727800,0.22489396582987542
2013-09-16,171.160004,171.240005,170.039993,170.309998,142.829544,106299200,0.5787709527891982
2013-09-17,170.460007,171.110001,170.460007,171.070007,143.466949,82523300,0.4462697157389339
2013-09-18,171.009995,173.520004,170.580002,173.050003,145.127441,203460600,1.1574038561313449
2013-09-19,173.520004,173.600006,172.589996,172.759995,144.884232,146616900,-0.16758305550224062
2013-09-20,172.330002,172.330002,170.580002,170.720001,143.871246,132867100,-0.6991692512129166
2013-09-23,170.490005,170.649994,169.389999,169.929993,143.205521,104616500,-0.46272275976535493
2013-09-24,169.899994,170.529999,169.210007,169.529999,142.868439,106333100,-0.23538338301916095
2013-09-25,169.639999,169.979996,168.889999,169.039993,142.45549,117306500,-0.28904144462584824
2013-09-26,169.320007,170.169998,169.050003,169.690002,143.00325,77146900,0.3845130854556844
2013-09-27,168.839996,169.139999,168.470001,168.910004,142.345901,99141800,-0.4596741682444394
2013-09-30,167.479996,168.539993,167.149994,168.009995,141.587463,143937000,-0.5328133754971875
2013-10-01,168.139999,169.5,167.970001,169.339996,142.708298,127160000,0.7916202298221764
2013-10-02,168.350006,169.339996,167.830002,169.179993,142.573441,113350000,-0.09449835916339744
2013-10-03,168.789993,168.940002,166.839996,167.619995,141.258789,176698000,-0.9220875857236188
2013-10-04,167.75,169.059998,167.529999,168.889999,142.329071,96878000,0.7576746251166
2013-10-07,167.419998,168.449997,167.25,167.429993,141.098679,96295000,-0.8644699156365565
2013-10-08,167.399994,167.619995,165.360001,165.479996,139.455307,178015000,-1.1646969423434461
2013-10-09,165.800003,166.199997,164.529999,165.600006,139.556458,168973000,0.07253291550961549
2013-10-10,167.289993,169.259995,167.229996,169.169998,142.565018,195955000,2.1558013460043712
2013-10-11,168.910004,170.320007,168.770004,170.259995,143.483643,105040000,0.644355125041951
2013-10-14,169.210007,171.080002,169.080002,170.940002,144.056686,112106000,0.3993786246422548
2013-10-15,170.509995,171.149994,169.470001,169.699997,143.011688,155485000,-0.7254074968794044
2013-10-16,170.720001,172.160004,170.639999,172.070007,145.008972,161676000,1.3965879488115673
2013-10-17,171.369995,173.320007,171.339996,173.220001,145.978088,129389000,0.6683145095325749
2013-10-18,173.860001,174.509995,173.509995,174.389999,146.964111,138316000,0.6754595936343533
2013-10-21,174.449997,174.75,174.009995,174.399994,146.972565,104104000,0.005752424821592328
2013-10-22,174.910004,175.929993,174.429993,175.410004,147.823669,126663000,0.5790903901010225
2013-10-23,174.809998,174.889999,173.960007,174.570007,147.115753,105484000,-0.47889218606796957
2013-10-24,174.919998,175.369995,174.509995,175.149994,147.604614,70350000,0.33229684111393265
2013-10-25,175.509995,176.0,175.169998,175.949997,148.278809,93625000,0.4567574019061382
2013-10-28,175.889999,176.470001,175.699997,176.229996,148.514725,84979000,0.15910297741870139
2013-10-29,176.630005,177.240005,176.380005,177.169998,149.306946,87401000,0.5334292609705971
2013-10-30,177.380005,177.509995,175.660004,176.289993,148.565292,140002000,-0.49673107639613967
2013-10-31,176.149994,176.889999,175.529999,175.789993,148.143921,133795000,-0.2836268110320117
2013-11-01,176.020004,176.610001,175.220001,176.210007,148.497879,142805000,0.23892846740569684
2013-11-04,176.690002,176.899994,175.979996,176.830002,149.02037,85677000,0.3518508166705958
2013-11-05,176.139999,176.75,175.570007,176.270004,148.548447,85825000,-0.3166835513829458
2013-11-06,177.029999,177.5,176.539993,177.169998,149.306946,87348000,0.5106071556574499
2013-11-07,177.5,177.639999,174.759995,174.929993,147.419144,157000000,-1.2643765414637964
2013-11-08,174.869995,177.309998,174.850006,177.289993,149.408005,136713000,1.349119894496198
2013-11-11,177.119995,177.529999,176.910004,177.320007,149.433319,62614000,0.016942867284797103
2013-11-12,176.940002,177.360001,176.369995,176.960007,149.129883,83990000,-0.20305779328906315
2013-11-13,176.089996,178.429993,176.089996,178.380005,150.326599,103844000,0.8024655930293889
2013-11-14,178.539993,179.419998,178.25,179.270004,151.07666,103435000,0.49895428020694244
2013-11-15,179.559998,180.119995,179.330002,180.050003,151.733994,102818000,0.43509963749528424
2013-11-18,180.350006,180.5,179.020004,179.419998,151.203018,104796000,-0.34993872236699364
2013-11-19,179.330002,179.869995,178.720001,179.029999,150.87442,93891000,-0.21732238175299345
2013-11-20,179.389999,179.929993,177.979996,178.470001,150.402466,124909000,-0.31281247013242863
2013-11-21,178.970001,180.050003,178.860001,179.910004,151.615997,92841000,0.8068557865267945
2013-11-22,179.979996,180.830002,179.770004,180.809998,152.374481,81296000,0.5002664725411554
2013-11-25,181.130005,181.169998,180.369995,180.630005,152.222778,79486000,-0.09955932187883931
2013-11-26,180.720001,181.220001,180.410004,180.679993,152.264877,86994000,0.027656176396950727
2013-11-27,180.869995,181.240005,180.649994,181.119995,152.63562,58800000,0.24348556758757578
